name,street,city,state,zip,type,website,phone,source
Hackettstown Dispensary,321 Mountain Ave,Hackettstown,NJ,7840.0,R,https://www.google.com/maps/dir/?api=1&destination=321%20Mountain%20Ave%2C%20Hackettstown%2C%20NJ%2007840%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hamm & Chaz Cannabis Dispensary,747 West Side Ave,Jersey City,NJ,7306.0,R,https://www.google.com/maps/dir/?api=1&destination=747%20West%20Side%20Ave%2C%20Jersey%20City%2C%20NJ%2007306%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Happy Leaf,200 N White Horse Pike,Somerdale,NJ,8083.0,R,https://www.google.com/maps/dir/?api=1&destination=200%20N%20White%20Horse%20Pike%2C%20Somerdale%2C%20NJ%2008083%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hashery,409 NJ-17,Hackensack,NJ,7601.0,R,https://www.google.com/maps/dir/?api=1&destination=409%20NJ-17%2C%20Hackensack%2C%20NJ%2007601%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hashstoria NJ,799 Broad St,Newark,NJ,7102.0,R,https://www.google.com/maps/dir/?api=1&destination=799%20Broad%20St%2C%20Newark%2C%20NJ%2007102%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Hello High,7685 Black Horse Pike,Hammonton,NJ,8037.0,R,https://www.google.com/maps/dir/?api=1&destination=7685%20Black%20Horse%20Pike%2C%20Hammonton%2C%20NJ%2008037%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Herb's Premium Dispensary,757 Franklin Blvd,Somerset,NJ,8873.0,R,https://www.google.com/maps/dir/?api=1&destination=757%20Franklin%20Blvd%2C%20Somerset%2C%20NJ%2008873%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Herbalicity,246 Raritan Ave,Highland Park,NJ,8904.0,R,https://www.google.com/maps/dir/?api=1&destination=246%20Raritan%20Ave%2C%20Highland%20Park%2C%20NJ%2008904%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Profile Lakehurst,145 NJ-70,Lakehurst,NJ,8733.0,R,https://www.google.com/maps/dir/?api=1&destination=145%20NJ-70%2C%20Lakehurst%2C%20NJ%2008733%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Profile of Somerdale Dispensary,4 N White Horse Pike,Somerdale,NJ,8083.0,R,https://www.google.com/maps/dir/?api=1&destination=4%20N%20White%20Horse%20Pike%2C%20Somerdale%2C%20NJ%2008083%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
High Rollers Dispensary,120 S Indiana Ave,Atlantic City,NJ,8401.0,R,https://www.google.com/maps/dir/?api=1&destination=120%20S%20Indiana%20Ave%2C%20Atlantic%20City%2C%20NJ%2008401%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
